x-axis  iteracoes           pares por instancia
1       0.566666666666666	0.566666666666667
2       0.574732905982906	0.629326923076923
3       0.67366452991453	0.594711538461538
4       0.651602564102564	0.634615384615385
5       0.729861111111111	0.648397435897436
6       0.721367521367522	0.607745726495726
7       0.765384615384615	0.604113247863248
8       0.770726495726496	0.61965811965812
9       0.772382478632479	0.665865384615385
10      0.776228632478632	0.721794871794872
11      0.746474358974359	0.740544871794872
12      0.785790598290598	0.7125
13      0.815438034188034	0.732905982905983
14      0.773290598290598	0.703044871794872
15      0.759401709401709	0.694978632478633
16      0.769391025641026	0.651228632478633
17      0.817735042735043	0.684081196581196
18      0.816773504273504	0.648824786324786
19      0.835790598290598	0.653311965811966
20      0.822863247863248	0.66073717948718

