x-axis  iteracoes           pares por instancia
1       0.278238866396761	0.278238866396761
2       0.134216346153846	0.121564587550607
3       0.193379807692308	0.125615384615385
4       0.170350961538462	0.108143028846154
5       0.1429375       	0.171155048076923
6       0.140966346153846	0.0989795673076923
7       0.147788461538461	0.100955528846154
8       0.193197115384615	0.137600961538462
9       0.153942307692308	0.147201923076923
10      0.139711538461538	0.125138221153846
11      0.135375        	0.114683894230769
12      0.132114182692308	0.0869230769230769
13      0.132192307692308	0.0854615384615385
14      0.130346153846154	0.0630769230769231
15      0.127346153846154	0.0404615384615385
16      0.127576923076923	0.0335384615384615
17      0.121192307692308	0.03
18      0.116807692307692	0.0195384615384615
19      0.1215          	0.0257692307692308
20      0.126038461538462	0.0194615384615385

