x-axis  iteracoes           pares por instancia
1       0.508284600389864	0.508284600389864
2       0.497465886939571	0.164522417153996
3       0.603313840155946	0.0166666666666667
4       0.509746588693957	0.0277777777777778
5       0.501559454191033	0.0484405458089669
6       0.543957115009747	0.0980506822612086
7       0.485477582846004	0.0569200779727096
8       0.553606237816764	0.00925925925925926
9       0.481189083820663	0.0160818713450292
10      0.439668615984405	0.0247563352826511
11      0.433820662768031	0.0269005847953216
12      0.465302144249513	0.0182261208576998
13      0.460721247563353	0.00526315789473684
14      0.488304093567251	0.0269005847953216
15      0.408187134502924	0.0194931773879142
16      0.440058479532164	0
17      0.434795321637427	0
18      0.412573099415205	0
19      0.41374269005848	0
20      0.419883040935672	0.0105263157894737

